Knmp;Voorraad;Department;Location;Artikelnaam;Hpkode;Artikelcode;Hpkode;Status;;;;Knmp,Voorraad,Department,Location,Artikelnaam,Hpkode,Artikelcode,Hpkode,Status,,
90002579;2; APOTHEEK ; BALIREK 1 ; 21ST CENTURY GARLIC EXTRACT ;Bali;9002914;1035118; A ;;;;90002579,2, APOTHEEK , BALIREK 1 , 21ST CENTURY GARLIC EXTRACT ,Bali,9002914,1035118, A ,,
90001844;5; APOTHEEK ; BALIREK 1 ; 21ST CENTURY IRON 65MG FERRO SULFATE 325MG ;Bali;9002159;1035118; A ;;;;90001844,5, APOTHEEK , BALIREK 1 , 21ST CENTURY IRON 65MG FERRO SULFATE 325MG ,Bali,9002159,1035118, A ,,
90004587;3; APOTHEEK ; BALIREK 1 ; 21ST CENTURY MAGNESIUM 250 MG ;Bali;9005517;1035118; A ;;;;90004587,3, APOTHEEK , BALIREK 1 , 21ST CENTURY MAGNESIUM 250 MG ,Bali,9005517,1035118, A ,,
90002865;3; APOTHEEK ;BALIREK 1 ; 21ST CENTURY MELATONIN 3MG ;Bali;9003212;1946870; A ;;;;90002865,3, APOTHEEK , BALIREK 1 , 21ST CENTURY MELATONIN 3MG ,Bali,9003212,1946870, A ,,
90004703;3; APOTHEEK ; BALIREK 1 ; 21ST CENTURY MELATONINE SUBL. 10MG CHERRY ;Bali;9006330;1946870; A ;;;;90004703,3, APOTHEEK , BALIREK 1 , 21ST CENTURY MELATONINE SUBL. 10MG CHERRY ,Bali,9006330,1946870, A ,,
90004705;1; APOTHEEK ; BALIREK 1 ; 21ST CENTURY ONE DAILY MEN HEALTH ;Bali;9006332;1533797; A ;;;;90004705,1, APOTHEEK , BALIREK 1 , 21ST CENTURY ONE DAILY MEN HEALTH ,Bali,9006332,1533797, A ,,
90004737;1; APOTHEEK ; BALIREK 1 ; 21ST CENTURY ONE DAILY WOMAN ;Bali;9006729;1533797; A ;;;;90004737,1, APOTHEEK , BALIREK 1 , 21ST CENTURY ONE DAILY WOMAN ,Bali,9006729,1533797, A ,,
90004652;7; APOTHEEK ; BALIREK 1 ; 21ST CENTURY PRENATAL MULTI (60ST) ;Bali;9006157;1035118; A ;;;;90004652,7, APOTHEEK , BALIREK 1 , 21ST CENTURY PRENATAL MULTI (60ST) ,Bali,9006157,1035118, A ,,
90003134;3; APOTHEEK ; BALIREK 1 ; 21ST CENTURY VIT. B6 100MG ;Bali;9003518;1533797; A ;;;;90003134,3, APOTHEEK , BALIREK 1 , 21ST CENTURY VIT. B6 100MG ,Bali,9003518,1533797, A ,,
90001898;3; APOTHEEK ; BALIREK 1 ; 21ST CENTURY VIT-A 10000IU ;Bali;9002212;1035118; A ;;;;90001898,3, APOTHEEK , BALIREK 1 , 21ST CENTURY VIT-A 10000IU ,Bali,9002212,1035118, A ,,
90001831;6; APOTHEEK ; BALIREK 1 ; 21ST CENTURY VIT-B 100 COMPLEX PRO REL ;Bali;9002146;1533797; A ;;;;90001831,6, APOTHEEK , BALIREK 1 , 21ST CENTURY VIT-B 100 COMPLEX PRO REL ,Bali,9002146,1533797, A ,,
90001830;3; APOTHEEK ; balirek 1 ; 21ST CENTURY VIT-B 50 COMPLEX PRO REL ;Bali;9002145;1533797; A ;;;;90001830,3, APOTHEEK , BALIREK 1 , 21ST CENTURY VIT-B 50 COMPLEX PRO REL ,Bali,9002145,1533797, A ,,
90001840;5; APOTHEEK ; BALIREK 1 ; 21ST CENTURY VIT-B COMPLEX W/C ;Bali;9002155;1035118; A ;;;;90001840,5, APOTHEEK , BALIREK 1 , 21ST CENTURY VIT-B COMPLEX W/C ,Bali,9002155,1035118, A ,,
90001834;69; APOTHEEK ; BALIREK 1 ; 21ST CENTURY VIT-C 500MG ;Bali;9002149;1035118; A ;;;;90001834,69, APOTHEEK , BALIREK 1 , 21ST CENTURY VIT-C 500MG ,Bali,9002149,1035118, A ,,
90003881;2; APOTHEEK ; BALIREK 1 ; 21ST CENTURY VIT-E OIL 30.000 I.U. 2.5 OZ ;Bali;9004559;1035118; A ;;;;90003881,2, APOTHEEK , BALIREK 1 , 21ST CENTURY VIT-E OIL 30.000 I.U. 2.5 OZ ,Bali,9004559,1035118, A ,,
90001843;1; APOTHEEK ; BALIREK 1 ; 21ST CENTURY ZOO FRIENDS CHEW COMPL ;Bali;9002158;1035118; A ;;;;90001843,1, APOTHEEK , BALIREK 1 , 21ST CENTURY ZOO FRIENDS CHEW COMPL ,Bali,9002158,1035118, A ,,
14818272;4; APOTHEEK ; BALIREK 1 ; 21TH CENTURY COD LIVER ;Bali;145391;1573233; A ;;;;14818272,4, APOTHEEK , BALIREK 1 , 21TH CENTURY COD LIVER ,Bali,145391,1573233, A ,,
90004588;3; APOTHEEK ; BALIREK 1 ; 21TH CENTURY GLUCO 500MG / CHON 400MG ;Bali;9005518;1684078; A ;;;;90004588,3, APOTHEEK , BALIREK 1 , 21TH CENTURY GLUCO 500MG / CHON 400MG ,Bali,9005518,1684078, A ,,
90004229;3; APOTHEEK ; BALIREK 1 ; 21TH CENTURY GLUCOSAMINE RELIEF 500MG ;Bali;9004981;1684078; A ;;;;90004229,3, APOTHEEK , BALIREK 1 , 21TH CENTURY GLUCOSAMINE RELIEF 500MG ,Bali,9004981,1684078, A ,,
90002444;26; APOTHEEK ; WERKBANK + BALI ; 21TH CENTURY VITAMINE D-400 ;Bali;9002771;1657003; A ;;;;90002444,26, APOTHEEK , WERKBANK + BALI , 21TH CENTURY VITAMINE D-400 ,Bali,9002771,1657003, A ,,
90004186;720; APOTHEEK ; ANTIVIRAAL ; ABACAVIR 20MG/ML DRANK ;282167;9004936;1156209; A ;;;;90004186,720, APOTHEEK , ANTIVIRAAL , ABACAVIR 20MG/ML DRANK ,282167,9004936,1156209, A ,,
90000432;1470; APOTHEEK ; ANTIVIRAAL ; ABACAVIR 300MG TABL. ;282161;9000584;1156195; A ;;;;90000432,1470, APOTHEEK , ANTIVIRAAL , ABACAVIR 300MG TABL. ,282161,9000584,1156195, A ,,
90004492;150; APOTHEEK ; ANTIVIRAAL ; ABACAVIR/LAMIVUDINE 600MG/300 MG TABL ;282184;9005356;1156195; A ;;;;90004492,150, APOTHEEK , ANTIVIRAAL , ABACAVIR/LAMIVUDINE 600MG/300 MG TABL ,282184,9005356,1156195, A ,,
14318024;522; APOTHEEK ; A T/M C ; ACETAZOLAMIDE 250MG TABL. ;60424;93720;1192604; A ;;;;14318024,522, APOTHEEK , A T/M C , ACETAZOLAMIDE 250MG TABL. ,60424,93720,1192604, A ,,
14739755;4186; APOTHEEK ; WERKBANK + BALI ; ACETYLSALICYLZUUR 80 MG TABL. ;59574;9002749;1516302; A ;;;;14739755,4186, APOTHEEK , WERKBANK + BALI , ACETYLSALICYLZUUR 80 MG TABL. ,59574,9002749,1516302, A ,,
90004702;350; APOTHEEK ; WERKBANK + BALI ; ACETYLSALICYLZUUR 80 MG TABL. MYLAN (AZPAS) ;145175;9006329;1516302; A ;;;;90004702,350, APOTHEEK , WERKBANK + BALI , ACETYLSALICYLZUUR 80 MG TABL. MYLAN (AZPAS) ,145175,9006329,1516302, A ,,
12838462;10; APOTHEEK ; PRODUCTIE ITEMSREK 2 ; ACIDUM OLEICUM ;38018;38018;245992; A ;;;;12838462,10, APOTHEEK , PRODUCTIE ITEMSREK 2 , ACIDUM OLEICUM ,38018,38018,245992, A ,,
13532758;16; APOTHEEK ; KOELKAST ; ACTRAPID 100IE/ML INJ. 10ML ;22654;22654;635936; A ;;;;13532758,16, APOTHEEK , KOELKAST , ACTRAPID 100IE/ML INJ. 10ML ,22654,22654,635936, A ,,
14901676;26; APOTHEEK ; KOELKAST ; ACTRAPID PENFILL 100IE/ML INJ. 3ML ;47580;47580;772437; A ;;;;14901676,26, APOTHEEK , KOELKAST , ACTRAPID PENFILL 100IE/ML INJ. 3ML ,47580,47580,772437, A ,,
13870858;10; APOTHEEK ; AMPULLENKAST ; ADDIPHOS  INF.VLST. CONC. 20ML ;292;292;585378; A ;;;;13870858,10, APOTHEEK , AMPULLENKAST , ADDIPHOS  INF.VLST. CONC. 20ML ,292,292,585378, A ,,
14843714;1900; APOTHEEK ; PRODUCTIE ITEMSREK 2 ; ALCOHOL 99  *% ACCIJNSVRIJ;148112;148112;1593595; A ;;;;14843714,1900, APOTHEEK , PRODUCTIE ITEMSREK 2 , ALCOHOL 99  *% ACCIJNSVRIJ,148112,148112,1593595, A ,,
90000923;20; APOTHEEK ; BALIREK 3 ; ALCOLADE GLACIAL MINI ;Bali;9001229;1603027; A ;;;;90000923,20, APOTHEEK , BALIREK 3 , ALCOLADE GLACIAL MINI ,Bali,9001229,1603027, A ,,
14058073;120; APOTHEEK ; A T/M C ; ALFACALCIDOL 0 25MCG CAPS. ;297415;9004481;419192; A ;;;;14058073,120, APOTHEEK , A T/M C , ALFACALCIDOL 0 25MCG CAPS. ,297415,9004481,419192, A ,,
90000418;2; APOTHEEK ; KOELKAST ; ALKERAN 2MG TABL. OMH. ;265707;9000544;201162; A ;;;;90000418,2, APOTHEEK , KOELKAST , ALKERAN 2MG TABL. OMH. ,265707,9000544,201162, A ,,
90003663;43; APOTHEEK ;AMPULLENKAST ; AMIKACINE 500MG INJ.PDR. ;niet gevonden;9004897;1150723; A ;;;;90003663,43, APOTHEEK , AMPULLENKAST , AMIKACINE 500MG INJ.PDR. ,niet gevonden,9004897,1150723, A ,,
90000146;12; APOTHEEK ; AMPULLENKAST ; AMIODARON 50MG/ML INJ 3ML ;135412;9000227;599514; A ;;;;90000146,12, APOTHEEK , AMPULLENKAST , AMIODARON 50MG/ML INJ 3ML ,135412,9000227,599514, A ,,
14015994;19; APOTHEEK ; A T/M C ; AMITRIPTYLINE HCL 10MG TABL. ;68065;68065;1016717; A ;;;;14015994,19, APOTHEEK , A T/M C , AMITRIPTYLINE HCL 10MG TABL. ,68065,68065,1016717, A ,,
14761653;1077; APOTHEEK ; A T/M C ; AMITRIPTYLINE HCL 25MG TABL. ;138596;138596;1529951; A ;;;;14761653,1077, APOTHEEK , A T/M C , AMITRIPTYLINE HCL 25MG TABL. ,138596,138596,1529951, A ,,
14328968;2231; APOTHEEK ; WERKBANK + BALI ; AMLODIPINE 10MG TABL. ;153242;9004556;642924; A ;;;;14328968,2231, APOTHEEK , WERKBANK + BALI , AMLODIPINE 10MG TABL. ,153242,9004556,642924, A ,,
90003876;30; APOTHEEK ; A T/M C ; AMLODIPINE 10MG TABL. (ACTAVIS) ;221554;9004553;642924; A ;;;;90003876,30, APOTHEEK , A T/M C , AMLODIPINE 10MG TABL. (ACTAVIS) ,221554,9004553,642924, A ,,
14646188;85; APOTHEEK ; WERKBANK + BALI ; AMLODIPINE 5MG TABL. ;266090;153241;642916; A ;;;;14646188,85, APOTHEEK , WERKBANK + BALI , AMLODIPINE 5MG TABL. ,266090,153241,642916, A ,,
14195089;400; APOTHEEK ; INWENDIGE DRANKEN ; AMOXI/CLAV 250/62 5MG PDR V SUSP 5ML ;158266;158266;1127020; A ;;;;14195089,400, APOTHEEK , INWENDIGE DRANKEN , AMOXI/CLAV 250/62 5MG PDR V SUSP 5ML ,158266,158266,1127020, A ,,
90001460;118; APOTHEEK ; AMPULLENKAST ; AMOXIL/CLAVULAN 1 2GR INJ.PDR. ;niet gevonden;9001767;1024728; A ;;;;90001460,118, APOTHEEK , AMPULLENKAST , AMOXIL/CLAVULAN 1 2GR INJ.PDR. ,niet gevonden,9001767,1024728, A ,,
90000008;22; APOTHEEK ; AMPULLENKAST ; AMPICILLINE 1000MG INJ.PDR. ;60378;9000050;1024698; A ;;;;90000008,22, APOTHEEK , AMPULLENKAST , AMPICILLINE 1000MG INJ.PDR. ,60378,9000050,1024698, A ,,
14291282;6; APOTHEEK ; A T/M C ; ANASTROZOL 1MG TABL. ;71217;9003807;1020013; A ;;;;14291282,6, APOTHEEK , A T/M C , ANASTROZOL 1MG TABL. ,71217,9003807,1020013, A ,,
15425371;31; APOTHEEK ; A T/M C ; ANDROGEL 50MG GEL IN SACHET ;157924;157924;1660810; A ;;;;15425371,31, APOTHEEK , A T/M C , ANDROGEL 50MG GEL IN SACHET ,157924,157924,1660810, A ,,
14909529;4; APOTHEEK ; AMPULLENKAST ; ANDROSKAT INJECTIEVLOEISTOF AMP 2ML+TOEDIENINGSKIT ;73792;73792;1049127; A ;;;;14909529,4, APOTHEEK , AMPULLENKAST , ANDROSKAT INJECTIEVLOEISTOF AMP 2ML+TOEDIENINGSKIT ,73792,73792,1049127, A ,,
90004285;2; APOTHEEK ; KOELKAST ; ANTI D VACCIN 1000IE 100MCG/ML 2ML ;251856;9005053;879509; A ;;;;90004285,2, APOTHEEK , KOELKAST , ANTI D VACCIN 1000IE 100MCG/ML 2ML ,251856,9005053,879509, A ,,
90000809;3; APOTHEEK ; AMPULLENKAST ; ANTI SLANGENSERUM POLYVALENT ;niet gevonden;9001118;705594; A ;;;;90000809,3, APOTHEEK , AMPULLENKAST , ANTI SLANGENSERUM POLYVALENT ,niet gevonden,9001118,705594, A ,,
90004659;4; APOTHEEK ; BALIREK 1 ; APPEACTIN SYRUP APPETITE STIMULANT 120ML ;Bali;9006223;44474; A ;;;;90004659,4, APOTHEEK , BALIREK 1 , APPEACTIN SYRUP APPETITE STIMULANT 120ML ,Bali,9006223,44474, A ,,
90004660;1; APOTHEEK ; BALIREK 1 ; APPEACTIN SYRUP PINEAPPLE 120ML ;Bali;9006224;44474; A ;;;;90004660,1, APOTHEEK , BALIREK 1 , APPEACTIN SYRUP PINEAPPLE 120ML ,Bali,9006224,44474, A ,,
13859838;15; APOTHEEK ; PRODUCTIE ITEMSKAST ; ARGENTI NITRAS ;30613;30613;247332; A ;;;;13859838,15, APOTHEEK , PRODUCTIE ITEMSKAST , ARGENTI NITRAS ,30613,30613,247332, A ,,
14296969;60; APOTHEEK ; CREMES-ZALVEN PATENT ; ARTHROTEC 75MG TABL. ;73796;73796;1049178; A ;;;;14296969,60, APOTHEEK , CREMES-ZALVEN PATENT , ARTHROTEC 75MG TABL. ,73796,73796,1049178, A ,,
14905957;100; APOTHEEK ; CREMES-ZALVEN PATENT ; ARTHROTEC TABLET 50MG ;50765;50765;802743; A ;;;;14905957,100, APOTHEEK , CREMES-ZALVEN PATENT , ARTHROTEC TABLET 50MG ,50765,50765,802743, A ,,
90004286;766; APOTHEEK ; ANTIVIRAAL ; ATAZANAVIR+RITONAVIR 300MG+100MG TABL. ;niet gevonden;9005054;1023608; A ;;;;90004286,766, APOTHEEK , ANTIVIRAAL , ATAZANAVIR+RITONAVIR 300MG+100MG TABL. ,niet gevonden,9005054,1023608, A ,,
14789019;115; APOTHEEK ; A T/M C ; ATORVASTATINE 10MG TABL. ;236311;78789;1046705; A ;;;;14789019,115, APOTHEEK , A T/M C , ATORVASTATINE 10MG TABL. ,236311,78789,1046705, A ,,
14789035;7; APOTHEEK ; A T/M C ; ATORVASTATINE 20MG TABL. ;236312;78791;1046713; A ;;;;14789035,7, APOTHEEK , A T/M C , ATORVASTATINE 20MG TABL. ,236312,78791,1046713, A ,,
14072491;1; APOTHEEK ; A T/M C ; ATORVASTATINE 40MG TABL. OMH. ;236313;9004124;1046721; A ;;;;14072491,1, APOTHEEK , A T/M C , ATORVASTATINE 40MG TABL. OMH. ,236313,9004124,1046721, A ,,
90002423;10; APOTHEEK ; MEDISCHE VERBRUIKSARTIKELEN INCLUSIEF BALIE ; ATRAUMAN ZALFKOMPRES 7 5CMX10CM STERIEL ;niet gevonden;9002747;1742388; A ;;;;90002423,10, APOTHEEK , MEDISCHE VERBRUIKSARTIKELEN INCLUSIEF BALIE , ATRAUMAN ZALFKOMPRES 7 5CMX10CM STERIEL ,niet gevonden,9002747,1742388, A ,,
15466914;1879; APOTHEEK ; ANTIVIRAAL ; ATRIPLA  300/600/200MG TABL.OMH. ;209253;209253;1929437; A ;;;;15466914,1879, APOTHEEK , ANTIVIRAAL , ATRIPLA  300/600/200MG TABL.OMH. ,209253,209253,1929437, A ,,
14059185;30; APOTHEEK ; AMPULLENKAST ; ATROPINESULFAAT 1MG/ML INJ 1ML ;71797;71797;1038435; A ;;;;14059185,30, APOTHEEK , AMPULLENKAST , ATROPINESULFAAT 1MG/ML INJ 1ML ,71797,71797,1038435, A ,,
90000049;12; APOTHEEK ; INHALATIE ; ATROVENT AEROSOL 200DO+INH ;127073;9000118;1488856; A ;;;;90000049,12, APOTHEEK , INHALATIE , ATROVENT AEROSOL 200DO+INH ,127073,9000118,1488856, A ,,
14174448;736; APOTHEEK ; A T/M C ; AZATHIOPRINE 50MG TABL. ;74137;74137;1051393; A ;;;;14174448,736, APOTHEEK , A T/M C , AZATHIOPRINE 50MG TABL. ,74137,74137,1051393, A ,,
90002462;500; APOTHEEK ; UITWENDIGE GENEESMIDDELEN ; AZIJNZUUR 5% OPL. ;257166;9002789;245747; A ;;;;90002462,500, APOTHEEK , UITWENDIGE GENEESMIDDELEN , AZIJNZUUR 5% OPL. ,257166,9002789,245747, A ,,
15097455;55; APOTHEEK ; A T/M C ; AZITROMYCINE 250MG TAB. OMH. ;189122;189122;1766139; A ;;;;15097455,55, APOTHEEK , A T/M C , AZITROMYCINE 250MG TAB. OMH. ,189122,189122,1766139, A ,,
14947714;1; APOTHEEK ; CREMES-ZALVEN PATENT ; AZITROMYCINE 500MG TAB. OMH. ;189121;158446;1663828; V ;;;;14947714,1, APOTHEEK , CREMES-ZALVEN PATENT , AZITROMYCINE 500MG TAB. OMH. ,189121,158446,1663828, V ,,
14278316;24; APOTHEEK ; CREMES-ZALVEN PATENT ; BACTROBAN 20MG/G NEUSZALF ;34972;34972;651060; A ;;;;14278316,24, APOTHEEK , CREMES-ZALVEN PATENT , BACTROBAN 20MG/G NEUSZALF ,34972,34972,651060, A ,,
14749815;29; APOTHEEK ; INHALATIE ; BECLOMETASON A AER CFKVR 100MCG/DO SPBS 200DO+INH ;144732;134642;1522817; A ;;;;14749815,29, APOTHEEK , INHALATIE , BECLOMETASON A AER CFKVR 100MCG/DO SPBS 200DO+INH ,144732,134642,1522817, A ,,
90004466;800; APOTHEEK ; UITWENDIGE GENEESMIDDELEN ; BENZYL BENZOATE 25%  APPLICATIE ;31145;9005318;247693; A ;;;;90004466,800, APOTHEEK , UITWENDIGE GENEESMIDDELEN , BENZYL BENZOATE 25%  APPLICATIE ,31145,9005318,247693, A ,,
90004664;1; APOTHEEK ; BALIREK 2 ; BENZYL BENZOATE LOTION 120ML ;niet gevonden;9006228;247693; A ;;;;90004664,1, APOTHEEK , BALIREK 2 , BENZYL BENZOATE LOTION 120ML ,niet gevonden,9006228,247693, A ,,
12101001;211; APOTHEEK ; A T/M C ; BIPERIDEEN 2MG TABL. ;60287;379;200603; A ;;;;12101001,211, APOTHEEK , A T/M C , BIPERIDEEN 2MG TABL. ,60287,379,200603, A ,,
14127679;218; APOTHEEK ; A T/M C ; BISACODYL 5MG TABL. ;78037;78037;1088777; A ;;;;14127679,218, APOTHEEK , A T/M C , BISACODYL 5MG TABL. ,78037,78037,1088777, A ,,
15155781;1155; APOTHEEK ; A T/M C ; BISOPROLOL 2 5MG TABL. ;155455;194721;1809504; A ;;;;15155781,1155, APOTHEEK , A T/M C , BISOPROLOL 2 5MG TABL. ,155455,194721,1809504, A ,,
90001750;1; APOTHEEK ; BALIREK 2 ; BONJELLA CREME ;Bali;9002061;255815; A ;;;;90001750,1, APOTHEEK , BALIREK 2 , BONJELLA CREME ,Bali,9002061,255815, A ,,
13863932;1; APOTHEEK ; BALIREK 3 ; BORSTPOMP ;Bali;9004181;830259; A ;;;;13863932,1, APOTHEEK , BALIREK 3 , BORSTPOMP ,Bali,9004181,830259, A ,,
90004603;2; APOTHEEK ; BALIREK 1 ; BP PEDIA POLY-VITE DROPS 1 2/3 FL.OZ (50ML) ;Bali;9005533;1533797; A ;;;;90004603,2, APOTHEEK , BALIREK 1 , BP PEDIA POLY-VITE DROPS 1 2/3 FL.OZ (50ML) ,Bali,9005533,1533797, A ,,
13865420;89; APOTHEEK ; A T/M C ; BROMOCRIPTINE 2 5MG TAB. ;60195;9004116;99252; A ;;;;13865420,89, APOTHEEK , A T/M C , BROMOCRIPTINE 2 5MG TAB. ,60195,9004116,99252, A ,,
14324830;50; APOTHEEK ; INWENDIGE DRANKEN ; BROOMHEXINE HCL 0 8MG/ML DRANK ;59817;41920;714925; A ;;;;14324830,50, APOTHEEK , INWENDIGE DRANKEN , BROOMHEXINE HCL 0 8MG/ML DRANK ,59817,41920,714925, A ,,
12107905;9632; APOTHEEK ; INWENDIGE DRANKEN ; BUSCOPAN DRAGEE 10MG ;1942;1942;205605; V ;;;;12107905,9632, APOTHEEK , INWENDIGE DRANKEN , BUSCOPAN DRAGEE 10MG ,1942,1942,205605, V ,,
13620320;27; APOTHEEK ; AMPULLENKAST ; BUTYLSCOPOLAMINE  20MG/ML INJ. 1ML ;1943;1943;63320; A ;;;;13620320,27, APOTHEEK , AMPULLENKAST , BUTYLSCOPOLAMINE  20MG/ML INJ. 1ML ,1943,1943,63320, A ,,
90004623;10; APOTHEEK ; AMPULLENKAST ; CAFFEINE STEROP (BASE) 12.5MG/ML INJ. 2 ML ;niet gevonden;9005554;1674641; A ;;;;90004623,10, APOTHEEK , AMPULLENKAST , CAFFEINE STEROP (BASE) 12.5MG/ML INJ. 2 ML ,niet gevonden,9005554,1674641, A ,,
14643022;180; APOTHEEK ; A T/M C ; CALCI CHEW D3 500MG/400IE KAUWTABL. ;52602;122123;1458973; A ;;;;14643022,180, APOTHEEK , A T/M C , CALCI CHEW D3 500MG/400IE KAUWTABL. ,52602,122123,1458973, A ,,
90004665;4; APOTHEEK ; BALIREK 2 ; CANADIAN HEALING OIL 60ML ;Bali;9006229;247693; A ;;;;90004665,4, APOTHEEK , BALIREK 2 , CANADIAN HEALING OIL 60ML ,Bali,9006229,247693, A ,,
12108723;2; APOTHEEK ; VAGINALE MIDDELEN ; CANESTEN 10MG/G VAG CR ;2144;2144;206172; A ;;;;12108723,2, APOTHEEK , VAGINALE MIDDELEN , CANESTEN 10MG/G VAG CR ,2144,2144,206172, A ,,
12332704;12; APOTHEEK ; VAGINALE MIDDELEN ; CANESTEN GYNO 3 200MG VAG.TABLET+APPLICATOR ;2149;2149;422509; A ;;;;12332704,12, APOTHEEK , VAGINALE MIDDELEN , CANESTEN GYNO 3 200MG VAG.TABLET+APPLICATOR ,2149,2149,422509, A ,,
14660849;222; APOTHEEK ; A T/M C ; CAPECITABINE 150MG TABL. ;124061;123987;1469940; A ;;;;14660849,222, APOTHEEK , A T/M C , CAPECITABINE 150MG TABL. ,124061,123987,1469940, A ,,
90004650;102; APOTHEEK ; A T/M C ; CAPECITABINE 500MG TABL. ;124059;9006079;1469940; A ;;;;90004650,102, APOTHEEK , A T/M C , CAPECITABINE 500MG TABL. ,124059,9006079,1469940, A ,,
14168731;324; APOTHEEK ; WERKBANK + BALI ; CARBASALAATCAL 100MG SACHET ;81891;81891;1112635; A ;;;;14168731,324, APOTHEEK , WERKBANK + BALI , CARBASALAATCAL 100MG SACHET ,81891,81891,1112635, A ,,
90003971;33; APOTHEEK ; MEDISCHE VERBRUIKSARTIKELEN INCLUSIEF BALIE ; CATH.CONDOOM 25MM SILLICONE STANDAARD ;273784;9004676;755478; A ;;;;90003971,33, APOTHEEK , MEDISCHE VERBRUIKSARTIKELEN INCLUSIEF BALIE , CATH.CONDOOM 25MM SILLICONE STANDAARD ,273784,9004676,755478, A ,,
90004173;3; APOTHEEK ; MEDISCHE VERBRUIKSARTIKELEN INCLUSIEF BALIE ; CATHER 2W CH16/10ML CURAS ;51681;9005303;755451; A ;;;;90004173,3, APOTHEEK , MEDISCHE VERBRUIKSARTIKELEN INCLUSIEF BALIE , CATHER 2W CH16/10ML CURAS ,51681,9005303,755451, A ,,
90004172;5; APOTHEEK ; MEDISCHE VERBRUIKSARTIKELEN INCLUSIEF BALIE ; CATHETER 2W CH14/10ML CURAS ;51680;9004920;755451; A ;;;;90004172,5, APOTHEEK , MEDISCHE VERBRUIKSARTIKELEN INCLUSIEF BALIE , CATHETER 2W CH14/10ML CURAS ,51680,9004920,755451, A ,,
90000253;36; APOTHEEK ; MEDISCHE VERBRUIKSARTIKELEN INCLUSIEF BALIE ; CATHETER COND. 25MM S&M ;niet gevonden;9000350;755478; A ;;;;90000253,36, APOTHEEK , MEDISCHE VERBRUIKSARTIKELEN INCLUSIEF BALIE , CATHETER COND. 25MM S&M ,niet gevonden,9000350,755478, A ,,
90003665;5; APOTHEEK ; MEDISCHE VERBRUIKSARTIKELEN INCLUSIEF BALIE ; CATHETER RECTUM CH18/40CM ;192629;9004281;755451; A ;;;;90003665,5, APOTHEEK , MEDISCHE VERBRUIKSARTIKELEN INCLUSIEF BALIE , CATHETER RECTUM CH18/40CM ,192629,9004281,755451, A ,,
